"LinkID","Node1","Node2","Capacity","Distance","MaxSpeed","Congestion","BasisFlow","EstFlow","Speed","TravelTime","Delay"
142,7,78,0.101,10.1,100,0.11425637908088507,0.006772503703755311,0.011539894287169393,99.74502105962652,0.10125818705238757,0.00025818705238757345
143,8,78,0.101,10.1,100,0.09249712962333688,0.005482732412842463,0.009342210091957025,99.89031993812989,0.10111089849602786,0.00011089849602786972
144,9,78,0.101,10.1,100,0.08206759233725781,0.004864525530507947,0.00828882682606304,99.93200411571794,0.10106872257164516,6.872257164516893e-05
145,10,78,0.101,10.1,100,0.06496470785374615,0.0038507585142481078,0.006561435493228362,99.97328930430851,0.10102698501053245,2.6985010532457054e-05
146,11,78,0.101,10.1,100,0.09642207275658328,0.005715381934215115,0.009738629348414912,99.87051055135181,0.10113095391463671,0.00013095391463671668
147,12,78,0.101,10.1,100,0.10699220596141186,0.006341922586516119,0.010806212802102599,99.80382348914318,0.10119852774076028,0.00019852774076029034
148,13,78,0.101,10.1,100,0.07727092660557476,0.004580204981451317,0.007804363587163051,99.94655297204922,0.10105401036516526,5.401036516526625e-05
149,14,78,0.101,10.1,100,0.0727093722223629,0.00430982056874983,0.007343646594458654,99.95809452116966,0.10104234227735272,4.234227735272489e-05
150,15,78,0.101,10.1,100,0.05432214084038475,0.003219924375311943,0.0054865362248788605,99.98694003402687,0.10101319228854125,1.3192288541255537e-05
151,2,78,0.101,10.1,100,0.026579018347843143,0.0015754612709677834,0.0026844808531321577,99.99925141045772,0.10100075608109764,7.560810976470211e-07
152,17,78,0.101,10.1,100,0.07666762619957247,0.004544444577813503,0.00774343024615682,99.94820184257617,0.10105234325183805,5.2343251838060656e-05
153,18,78,0.101,10.1,100,0.10200702116955702,0.006046427641390645,0.01030270913812526,99.83785380673314,0.10116403362948542,0.00016403362948543
154,19,78,0.101,10.1,100,0.09828374207528862,0.005825731679739379,0.00992665794960415,99.86023109589641,0.10114136417630464,0.00014136417630464249
155,20,78,0.101,10.1,100,0.07153427427679818,0.004240167081980584,0.007224961701956616,99.96073754848528,0.10103967065170025,3.9670651700254855e-05
156,21,78,0.101,10.1,100,0.08520106539313266,0.0050502609620632095,0.008605307604706399,99.92101798475647,0.10107983489060142,7.983489060142679e-05
157,78,1,0.101,10.1,100,0.09166074486947967,0.005433156022545231,0.009257735231817447,99.8942293462916,0.1011069414729405,0.00010694147294050549
158,78,2,0.101,10.1,100,0.09166074486947967,0.005433156022545231,0.009257735231817447,99.8942293462916,0.1011069414729405,0.00010694147294050549
159,78,4,0.101,10.1,100,0.09166074486947967,0.005433156022545231,0.009257735231817447,99.8942293462916,0.1011069414729405,0.00010694147294050549
160,78,5,0.101,10.1,100,0.09166074486947967,0.005433156022545231,0.009257735231817447,99.8942293462916,0.1011069414729405,0.00010694147294050549
161,78,6,0.101,10.1,100,0.09166074486947967,0.005433156022545231,0.009257735231817447,99.8942293462916,0.1011069414729405,0.00010694147294050549
162,78,7,0.101,10.1,100,0.09166074486947967,0.005433156022545231,0.009257735231817447,99.8942293462916,0.1011069414729405,0.00010694147294050549
163,78,8,0.101,10.1,100,0.09166074486947967,0.005433156022545231,0.009257735231817447,99.8942293462916,0.1011069414729405,0.00010694147294050549
164,78,9,0.101,10.1,100,0.09166074486947967,0.005433156022545231,0.009257735231817447,99.8942293462916,0.1011069414729405,0.00010694147294050549
165,78,10,0.101,10.1,100,0.09166074486947967,0.005433156022545231,0.009257735231817447,99.8942293462916,0.1011069414729405,0.00010694147294050549
