LinkID,Node1,Node2,Capacity,Distance,MaxSpeed,NumLane,RoadWidth,RoadType,RoadName
17442,20645,20644,1500.0,0.009,35.0,1,3.0,secondary,Jalan Semolowaru
17443,20644,20645,1500.0,0.009,35.0,1,3.0,secondary,Jalan Semolowaru
17444,20644,20643,1500.0,0.013,35.0,1,3.0,secondary,Jalan Semolowaru
17445,20643,20644,1500.0,0.013,35.0,1,3.0,secondary,Jalan Semolowaru
17446,20643,20642,1500.0,0.02,35.0,1,3.0,secondary,Jalan Semolowaru
17447,20642,20643,1500.0,0.02,35.0,1,3.0,secondary,Jalan Semolowaru
17448,20642,20641,1500.0,0.025,35.0,1,3.0,secondary,Jalan Semolowaru
17449,20641,20642,1500.0,0.025,35.0,1,3.0,secondary,Jalan Semolowaru
17450,20641,20640,1500.0,0.051,35.0,1,3.0,secondary,Jalan Semolowaru
17451,20640,20641,1500.0,0.051,35.0,1,3.0,secondary,Jalan Semolowaru
17452,20640,20639,1500.0,0.078,35.0,1,3.0,secondary,Jalan Semolowaru
17453,20639,20640,1500.0,0.078,35.0,1,3.0,secondary,Jalan Semolowaru
17454,20639,20638,1500.0,0.03,35.0,1,3.0,secondary,Jalan Semolowaru
17455,20638,20639,1500.0,0.03,35.0,1,3.0,secondary,Jalan Semolowaru
17456,20638,20637,1500.0,0.017,35.0,1,3.0,secondary,Jalan Semolowaru
17457,20637,20638,1500.0,0.017,35.0,1,3.0,secondary,Jalan Semolowaru
17458,20637,20636,1500.0,0.012,35.0,1,3.0,secondary,Jalan Semolowaru
17459,20636,20637,1500.0,0.012,35.0,1,3.0,secondary,Jalan Semolowaru
17460,20636,20635,1500.0,0.016,35.0,1,3.0,secondary,Jalan Semolowaru
17461,20635,20636,1500.0,0.016,35.0,1,3.0,secondary,Jalan Semolowaru
17462,20829,20828,1500,0.02,20,1,2.75,tertiary,Jalan Klampis Jaya
17463,20828,20827,1500,0.006,20,1,2.75,tertiary,Jalan Klampis Jaya
17464,20754,4644,1500,0.001,20,1,2.75,tertiary,Jalan Klampis Jaya
17465,4644,4643,1500,0.002,20,1,2.75,tertiary,Jalan Klampis Jaya
17466,4643,20727,1500,0.001,20,1,2.75,tertiary,Jalan Klampis Jaya
17467,20724,20829,1500,0.001,20,1,2.75,tertiary,Jalan Klampis Jaya
17468,20725,20724,1500,0.003,20,1,2.75,tertiary,Jalan Klampis Jaya
17469,20827,20756,1500,0.002,20,1,2.75,tertiary,Jalan Klampis Jaya
17470,20756,20755,1500,0.016,20,1,2.75,tertiary,Jalan Klampis Jaya
17471,20755,20754,1500,0.003,20,1,2.75,tertiary,Jalan Klampis Jaya
17472,23530,23531,2000.0,0.02,45.0,2,4.0,secondary,Jalan Arief Rahman Hakim
17473,23531,23530,2000.0,0.02,45.0,2,4.0,secondary,Jalan Arief Rahman Hakim
17474,23531,23532,2000.0,0.021,45.0,2,4.0,secondary,Jalan Arief Rahman Hakim
17475,23532,23531,2000.0,0.021,45.0,2,4.0,secondary,Jalan Arief Rahman Hakim
17476,23532,23533,2000.0,0.009,45.0,2,4.0,secondary,Jalan Arief Rahman Hakim
17477,23533,23532,2000.0,0.009,45.0,2,4.0,secondary,Jalan Arief Rahman Hakim
17478,23533,23534,2000.0,0.039,45.0,2,4.0,secondary,Jalan Arief Rahman Hakim
17479,23534,23533,2000.0,0.039,45.0,2,4.0,secondary,Jalan Arief Rahman Hakim
17480,23534,23535,2000.0,0.014,45.0,2,4.0,secondary,Jalan Arief Rahman Hakim
17481,23535,23534,2000.0,0.014,45.0,2,4.0,secondary,Jalan Arief Rahman Hakim
17482,23535,23536,2000.0,0.033,45.0,2,4.0,secondary,Jalan Arief Rahman Hakim
17483,23536,23535,2000.0,0.033,45.0,2,4.0,secondary,Jalan Arief Rahman Hakim
17484,23536,23537,2000.0,0.046,45.0,2,4.0,secondary,Jalan Arief Rahman Hakim
17485,23537,23536,2000.0,0.046,45.0,2,4.0,secondary,Jalan Arief Rahman Hakim
17486,23537,23538,2000.0,0.038,45.0,2,4.0,secondary,Jalan Arief Rahman Hakim
17487,23538,23537,2000.0,0.038,45.0,2,4.0,secondary,Jalan Arief Rahman Hakim
17488,23538,23539,2000.0,0.017,45.0,2,4.0,secondary,Jalan Arief Rahman Hakim
17489,23539,23538,2000.0,0.017,45.0,2,4.0,secondary,Jalan Arief Rahman Hakim
17490,23539,23540,2000.0,0.028,45.0,2,4.0,secondary,Jalan Arief Rahman Hakim
17491,23540,23539,2000.0,0.028,45.0,2,4.0,secondary,Jalan Arief Rahman Hakim
17492,23540,23541,2000.0,0.042,45.0,2,4.0,secondary,Jalan Arief Rahman Hakim
17493,23541,23540,2000.0,0.042,45.0,2,4.0,secondary,Jalan Arief Rahman Hakim
17494,23541,23542,2000.0,0.007,45.0,2,4.0,secondary,Jalan Arief Rahman Hakim
17495,23542,23541,2000.0,0.007,45.0,2,4.0,secondary,Jalan Arief Rahman Hakim
17496,23542,23543,2000.0,0.008,45.0,2,4.0,secondary,Jalan Arief Rahman Hakim
17497,23543,23542,2000.0,0.008,45.0,2,4.0,secondary,Jalan Arief Rahman Hakim
17498,23543,23544,2000.0,0.026,45.0,2,4.0,secondary,Jalan Arief Rahman Hakim
17499,23544,23543,2000.0,0.026,45.0,2,4.0,secondary,Jalan Arief Rahman Hakim
17500,23544,23545,2000.0,0.036,45.0,2,4.0,secondary,Jalan Arief Rahman Hakim
17501,23545,23544,2000.0,0.036,45.0,2,4.0,secondary,Jalan Arief Rahman Hakim
17502,23545,23546,2000.0,0.023,45.0,2,4.0,secondary,Jalan Arief Rahman Hakim
17503,23546,23545,2000.0,0.023,45.0,2,4.0,secondary,Jalan Arief Rahman Hakim
17504,23546,23547,2000.0,0.05,45.0,2,4.0,secondary,Jalan Arief Rahman Hakim
17505,23547,23546,2000.0,0.05,45.0,2,4.0,secondary,Jalan Arief Rahman Hakim
17506,23547,23548,2000.0,0.005,45.0,2,4.0,secondary,Jalan Arief Rahman Hakim
17507,23548,23547,2000.0,0.005,45.0,2,4.0,secondary,Jalan Arief Rahman Hakim
17508,23548,23549,2000.0,0.006,45.0,2,4.0,secondary,Jalan Arief Rahman Hakim
17509,23549,23548,2000.0,0.006,45.0,2,4.0,secondary,Jalan Arief Rahman Hakim
17510,23549,23550,2000.0,0.014,45.0,2,4.0,secondary,Jalan Arief Rahman Hakim
17511,23550,23549,2000.0,0.014,45.0,2,4.0,secondary,Jalan Arief Rahman Hakim
17512,23550,23551,2000.0,0.087,45.0,2,4.0,secondary,Jalan Arief Rahman Hakim
17513,23551,23550,2000.0,0.087,45.0,2,4.0,secondary,Jalan Arief Rahman Hakim
17514,23551,23552,2000.0,0.016,45.0,2,4.0,secondary,Jalan Arief Rahman Hakim
17515,23552,23551,2000.0,0.016,45.0,2,4.0,secondary,Jalan Arief Rahman Hakim
17516,23552,23553,2000.0,0.053,45.0,2,4.0,secondary,Jalan Arief Rahman Hakim
17517,23553,23552,2000.0,0.053,45.0,2,4.0,secondary,Jalan Arief Rahman Hakim
17518,23553,23554,2000.0,0.025,45.0,2,4.0,secondary,Jalan Arief Rahman Hakim
17519,23554,23553,2000.0,0.025,45.0,2,4.0,secondary,Jalan Arief Rahman Hakim
17520,23554,23555,2000.0,0.014,45.0,2,4.0,secondary,Jalan Arief Rahman Hakim
17521,23555,23554,2000.0,0.014,45.0,2,4.0,secondary,Jalan Arief Rahman Hakim
17522,23555,23556,2000.0,0.012,45.0,2,4.0,secondary,Jalan Arief Rahman Hakim
17523,23556,23555,2000.0,0.012,45.0,2,4.0,secondary,Jalan Arief Rahman Hakim
17524,23556,23557,2000.0,0.021,45.0,2,4.0,secondary,Jalan Arief Rahman Hakim
17525,23557,23556,2000.0,0.021,45.0,2,4.0,secondary,Jalan Arief Rahman Hakim
17526,23557,23558,2000.0,0.005,45.0,2,4.0,secondary,Jalan Arief Rahman Hakim
17527,23558,23557,2000.0,0.005,45.0,2,4.0,secondary,Jalan Arief Rahman Hakim
17528,23558,23559,2000.0,0.027,45.0,2,4.0,secondary,Jalan Arief Rahman Hakim
17529,23559,23558,2000.0,0.027,45.0,2,4.0,secondary,Jalan Arief Rahman Hakim
17530,23559,23560,2000.0,0.019,45.0,2,4.0,secondary,Jalan Arief Rahman Hakim
17531,23560,23559,2000.0,0.019,45.0,2,4.0,secondary,Jalan Arief Rahman Hakim
17532,23560,23561,2000.0,0.006,45.0,2,4.0,secondary,Jalan Arief Rahman Hakim
17533,23561,23560,2000.0,0.006,45.0,2,4.0,secondary,Jalan Arief Rahman Hakim
17534,23561,23562,2000.0,0.075,45.0,2,4.0,secondary,Jalan Arief Rahman Hakim
17535,23562,23561,2000.0,0.075,45.0,2,4.0,secondary,Jalan Arief Rahman Hakim
