osmid,y,x,street_count,highway,geometry
5608388603,-7.3361587,112.738737,3,,POINT (112.738737 -7.3361587)
5608388604,-7.3351987,112.7390867,2,,POINT (112.7390867 -7.3351987)
5608388605,-7.336165,112.738873,3,,POINT (112.738873 -7.336165)
5608388606,-7.3352145,112.7392008,3,,POINT (112.7392008 -7.3352145)
5608388607,-7.3362589,112.7382009,3,,POINT (112.7382009 -7.3362589)
5608388608,-7.3349939,112.7386596,2,,POINT (112.7386596 -7.3349939)
5608388609,-7.3351268,112.7389084,2,,POINT (112.7389084 -7.3351268)
5608388610,-7.3352915,112.7393164,2,,POINT (112.7393164 -7.3352915)
5608388611,-7.336168,112.7389741,2,,POINT (112.7389741 -7.336168)
5608388612,-7.3362668,112.7385287,4,,POINT (112.7385287 -7.3362668)
5608388613,-7.3350657,112.7389098,2,,POINT (112.7389098 -7.3350657)
5608388615,-7.3344609,112.7379935,3,,POINT (112.7379935 -7.3344609)
5608388616,-7.334745,112.7380473,2,,POINT (112.7380473 -7.334745)
5608388617,-7.3342078,112.7379456,3,,POINT (112.7379456 -7.3342078)
5608388619,-7.3341502,112.7382111,4,,POINT (112.7382111 -7.3341502)
5608388620,-7.3352317,112.7375331,2,,POINT (112.7375331 -7.3352317)
5608388721,-7.3337462,112.7372789,2,,POINT (112.7372789 -7.3337462)
5608388722,-7.333701,112.7373031,2,,POINT (112.7373031 -7.333701)
5608388723,-7.33354,112.738097,3,,POINT (112.738097 -7.33354)
5608388725,-7.3355438,112.7368786,1,,POINT (112.7368786 -7.3355438)
5608388726,-7.3351948,112.7368042,3,,POINT (112.7368042 -7.3351948)
5608388727,-7.3355905,112.7361892,1,,POINT (112.7361892 -7.3355905)
5608388729,-7.3351442,112.7367559,2,,POINT (112.7367559 -7.3351442)
5608388730,-7.3355518,112.7349643,4,,POINT (112.7349643 -7.3355518)
5608388731,-7.3350192,112.7354979,1,,POINT (112.7354979 -7.3350192)
5608388732,-7.335125,112.734888,3,,POINT (112.734888 -7.335125)
5608388733,-7.3350138,112.7358654,1,,POINT (112.7358654 -7.3350138)
5608388734,-7.3348975,112.7358852,2,,POINT (112.7358852 -7.3348975)
5608388735,-7.3347984,112.7359995,2,,POINT (112.7359995 -7.3347984)
5608388736,-7.3346267,112.7360197,2,,POINT (112.7360197 -7.3346267)
5608388737,-7.3347306,112.7348107,3,,POINT (112.7348107 -7.3347306)
5608388738,-7.333935,112.7369591,1,,POINT (112.7369591 -7.333935)
5608388739,-7.3333844,112.736835,2,,POINT (112.736835 -7.3333844)
5608388740,-7.3335887,112.7358802,2,,POINT (112.7358802 -7.3335887)
5608388741,-7.3338912,112.7356139,2,,POINT (112.7356139 -7.3338912)
5608388742,-7.334035,112.7346854,3,,POINT (112.7346854 -7.334035)
5608391689,-7.3366391,112.7375752,2,,POINT (112.7375752 -7.3366391)
5608391690,-7.3363695,112.7376306,3,,POINT (112.7376306 -7.3363695)
5608527899,-7.3377127,112.731138,1,,POINT (112.731138 -7.3377127)
5608527900,-7.3376196,112.7311753,3,,POINT (112.7311753 -7.3376196)
