u,v,key,osmid,name,highway,oneway,reversed,length,travel_time,regulated_max_speed,computed_max_speed,capacity,lanes,width,access,bridge,service,geometry
9186637038,9186637037,0,159882714,Jalan Siwalankerto Utara I,residential,False,True,9.706,1.2,30,25.0,2000.0,1,4,,,,"LINESTRING (112.7318863 -7.3351316, 112.7319186 -7.3350504)"
9186637039,6722346458,0,159882783,Jalan Siwalankerto V,residential,False,False,1.858,0.2,30,25.0,2000.0,1,4,,,,"LINESTRING (112.7347209 -7.3374313, 112.7347203 -7.3374146)"
9186637039,1719641881,0,159882783,Jalan Siwalankerto V,residential,False,True,1.649,0.2,30,25.0,2000.0,1,4,,,,"LINESTRING (112.7347209 -7.3374313, 112.7347199 -7.3374461)"
9186637040,4636658421,0,469305809,Gang Pisang,living_street,False,False,4.261,0.8,20,15.0,1000.0,1,2,,,,"LINESTRING (112.7347489 -7.3385699, 112.7347875 -7.3385716)"
9186637040,9186637041,0,469305809,Gang Pisang,living_street,False,True,3.985,0.7,20,15.0,1000.0,1,2,,,,"LINESTRING (112.7347489 -7.3385699, 112.7347134 -7.3385766)"
9186637041,9186637040,0,469305809,Gang Pisang,living_street,False,False,3.985,0.7,20,15.0,1000.0,1,2,,,,"LINESTRING (112.7347134 -7.3385766, 112.7347489 -7.3385699)"
9186637041,10285779898,0,469305809,Gang Pisang,living_street,False,True,3.695,0.7,20,15.0,1000.0,1,2,,,,"LINESTRING (112.7347134 -7.3385766, 112.7346824 -7.3385892)"
9186740637,9186740641,0,994860614,,service,False,False,3.135,0.4,30,25.0,2000.0,2,4,,,,"LINESTRING (112.7352029 -7.3352582, 112.7351855 -7.3352805)"
9186740637,9186740638,0,994860614,,service,False,True,3.559,0.4,30,25.0,2000.0,2,4,,,,"LINESTRING (112.7352029 -7.3352582, 112.7352136 -7.335228)"
9186740638,9186740637,0,994860614,,service,False,False,3.559,0.4,30,25.0,2000.0,2,4,,,,"LINESTRING (112.7352136 -7.335228, 112.7352029 -7.3352582)"
9186740638,9186740642,0,994860614,,service,False,True,18.121,2.2,30,25.0,2000.0,2,4,,,,"LINESTRING (112.7352136 -7.335228, 112.7352284 -7.3350657)"
9186740639,9186740640,0,994860614,,service,False,True,10.374,1.2,30,25.0,2000.0,2,4,,,,"LINESTRING (112.7350675 -7.3353277, 112.7351566 -7.3352978)"
9186740640,9186740639,0,994860614,,service,False,False,10.374,1.2,30,25.0,2000.0,2,4,,,,"LINESTRING (112.7351566 -7.3352978, 112.7350675 -7.3353277)"
9186740640,9186740641,0,994860614,,service,False,True,3.723,0.4,30,25.0,2000.0,2,4,,,,"LINESTRING (112.7351566 -7.3352978, 112.7351855 -7.3352805)"
9186740641,9186740640,0,994860614,,service,False,False,3.723,0.4,30,25.0,2000.0,2,4,,,,"LINESTRING (112.7351855 -7.3352805, 112.7351566 -7.3352978)"
